cell	trait	Prop._SNPs	Prop._h2	Prop._h2_std_error	Enrichment	Enrichment_std_error	Enrichment_p	Coefficient	Coefficient_std_error	Coefficient_z-score
Pattern_5	UKB_IDP_0141_IDP_T1_FAST_ROIs_L_cerebellum_VI	0.2176629012687378	0.3179715748517383	0.024950729958815934	1.4608441447684017	0.11463014511605026	4.312775846529877e-05	3.796659036531894e-09	7.755119859890605e-09	0.4895680666611193
Pattern_5	UKB_IDP_0142_IDP_T1_FAST_ROIs_V_cerebellum_VI	0.2176629012687378	0.30118729229428187	0.0282045841611479	1.3837327837618987	0.12957919790991423	0.0022635759976169776	4.804526125479702e-09	8.466105608714272e-09	0.5675013220404835
Pattern_5	UKB_IDP_0143_IDP_T1_FAST_ROIs_R_cerebellum_VI	0.2176629012687378	0.3320019547242285	0.026589052990321563	1.5253033603292911	0.12215702738195772	1.6835632451082042e-05	8.393725738976837e-09	7.528440197141088e-09	1.1149355668873269
Pattern_5	UKB_IDP_0144_IDP_T1_FAST_ROIs_L_cerebellum_crus_I	0.2176629012687378	0.281568019297842	0.022580490596744163	1.2935967390704015	0.10374064879740406	0.003947465036106298	7.65693920042501e-09	9.553527808702124e-09	0.8014776691653581
Pattern_5	UKB_IDP_0145_IDP_T1_FAST_ROIs_V_cerebellum_crus_I	0.2176629012687378	0.2885758656004778	0.0672348688100142	1.3257926082873774	0.3088944804930381	0.2674644294769013	2.0675233903265055e-09	5.9989516891646255e-09	0.3446474479967708
Pattern_5	UKB_IDP_0146_IDP_T1_FAST_ROIs_R_cerebellum_crus_I	0.2176629012687378	0.2803102894621564	0.02320694192785523	1.287818400968895	0.10661872920274432	0.005332839753520086	4.827104318334618e-09	9.858126905254803e-09	0.4896573522259655
Pattern_5	UKB_IDP_0147_IDP_T1_FAST_ROIs_L_cerebellum_crus_II	0.2176629012687378	0.3026609359183359	0.023628674187807907	1.390503085983657	0.1085562769313395	0.00012818282346614614	1.2102052945296975e-08	8.344242175247253e-09	1.4503477597039387
Pattern_5	UKB_IDP_0148_IDP_T1_FAST_ROIs_V_cerebellum_crus_II	0.2176629012687378	0.3133164288142301	0.029745309070628462	1.4394571926953852	0.13665768901014222	0.0015036002607374279	1.5081629924375664e-08	8.310349906068316e-09	1.8148008320760212
Pattern_5	UKB_IDP_0149_IDP_T1_FAST_ROIs_R_cerebellum_crus_II	0.2176629012687378	0.2964545130492402	0.028150666897618557	1.361989164534852	0.12933148797305746	0.00041824376766819334	1.0119125012325916e-08	9.645114521051252e-09	1.049145138737347
Pattern_5	UKB_IDP_0150_IDP_T1_FAST_ROIs_L_cerebellum_VIIb	0.2176629012687378	0.3279998108690806	0.030871066494983036	1.506916470180259	0.14182971151738913	3.216209222244987e-05	2.0631557039152037e-08	8.981279095767359e-09	2.2971735784132514
