,Pattern_1,Pattern_2,Pattern_3,Pattern_4,Pattern_5,Pattern_6,Pattern_7,Pattern_8,Pattern_9,Pattern_10,Pattern_11,Pattern_12,Pattern_13,Pattern_14,Pattern_15,Pattern_16,Pattern_17,Pattern_18,Pattern_19,Pattern_20,Pattern_21,Pattern_22,Pattern_23,Pattern_24,Pattern_25,Pattern_26,Pattern_27,Pattern_28
AC018358.1,0.000252004,0.000708082,0.000304736,0.000304228,0.00077064,0.00028521,0.000204625,0.002806979,0.000364479,0.000235384,0.000235675,0.000481485,0.000352214,0.000147487,0.000223518,0.000166727,8.66E-05,0.000265152,0.000273827,0.000267222,0.00026556,4.24E-05,0.000375914,0.000212855,0.000432251,0.000283566,4.26E-05,0.000126031
LYZL4,0.000247075,0.000611556,0.000301467,0.000291651,0.00072935,0.000264678,0.000186305,0.000672437,0.000339002,0.000229161,0.000240678,0.000485287,0.000322436,0.00015165,0.000229868,0.000154165,8.53E-05,0.000232588,0.000280625,0.000286242,0.000243104,4.25E-05,0.000286194,0.000218176,0.000444622,0.000238552,3.95E-05,0.00012347
VIPR1,0.072797358,0.050845299,0.041986085,4.28E-05,6.75E-05,0.078085274,0.004462768,0.021178139,0.030036705,0.00081481,0.010732748,0.017409768,0.107188478,0.355534345,0.07857842,0.221456617,0.34052676,0.077836253,0.04585911,0.105751269,1.88E-05,0.026039381,0.007281088,0.008628278,0.373503149,8.92E-06,2.25E-06,3.27E-05
VIPR1-AS1,0.000277653,0.000484153,0.000329144,0.000357282,0.001061605,0.000280814,0.000231376,0.0008561,0.000371727,0.000243575,0.000270036,0.000566632,0.000367851,0.000154351,0.000292684,0.000177947,8.76E-05,0.000262262,0.000279616,0.000282148,0.00029228,4.39E-05,0.00029629,0.000221064,0.000446894,0.00028038,4.33E-05,0.000125806
SEC22C,0.142038494,0.178171098,0.151896507,0.179179356,0.405151755,0.177558094,0.216946483,0.307899535,0.399230599,0.027285421,0.146130025,0.257594526,0.113816716,0.158740953,0.068872109,0.123244703,0.193106785,0.133185923,0.16438891,0.195404634,0.319336504,0.028547095,0.19351919,0.260633498,0.314147472,0.149793684,0.024913533,0.033149295
SS18L2,0.279348761,0.129125416,0.178881362,0.209791347,0.595129728,0.193854585,0.076291241,0.130878344,0.282793254,0.019138809,0.049045734,0.257256627,0.161492735,0.154237226,0.188197687,0.184454694,0.204644755,0.087296359,0.190109521,0.279093564,0.37099427,0.042722579,0.135000691,0.124682516,0.391840726,0.138098136,0.033557445,0.052961256
NKTR,0.408782423,0.08083538,0.134650037,0.664039195,0.859267771,0.25689283,0.06778802,0.310100496,0.152931243,0.257114172,0.101374887,0.416606098,0.256892353,0.788495123,0.137661874,0.306952983,0.350720584,0.033401217,0.193951413,0.11062596,0.683206081,0.219800785,0.384553522,0.208811313,0.751472116,0.307370424,0.101186208,0.021601154
AC006059.1,0.025349107,0.014429425,0.019811692,0.000326272,0.006174668,0.01799872,0.153268635,0.012380871,0.000713933,0.001345508,0.02461772,0.01609317,0.024407394,0.010575257,0.00462827,0.001026963,0.01456415,0.01170829,0.003295985,0.040550858,0.004195871,0.001222162,0.000680925,0.003840067,0.020453166,0.003509691,0.000520484,0.000976687
ZBTB47,0.189637482,0.164808854,0.351876527,0.094371498,0.639222264,0.094946191,0.403072,0.213553727,0.110472456,0.17254068,0.175051793,0.267401665,0.306047976,0.351811677,0.040628221,0.187375799,0.280458301,0.389904439,0.095960207,0.389959365,0.23189348,0.079555385,0.191219687,0.090920262,0.281149298,0.04995979,0.020152383,0.178227454
AC006059.5,0.001094003,0.001264155,0.003163368,0.00317116,0.008535226,0.0018953,0.000597324,0.006818003,0.000927045,0.000325018,0.000870954,0.005084317,0.001777225,0.001181655,0.000508604,0.003105827,0.00038147,0.001787488,0.002722935,0.000841347,0.000680125,0.000165742,0.00267636,0.0007242,0.00063557,0.001180519,0.000117038,0.000295171
KLHL40,0.000630984,0.001108596,0.003798418,0.002191836,0.007393206,0.002590542,0.000580754,0.001376389,0.000751721,0.000357858,0.001858462,0.003177366,0.001122097,0.002023739,0.000969817,0.002838995,0.000443321,0.000850465,0.003107723,0.000823991,0.000736716,0.000223838,0.002379667,0.000612797,0.001389841,0.001275283,0.000112495,0.000359565
HHATL,0.015903989,0.016304754,0.028937405,0.00014264,0.000376711,0.000495737,0.056734264,0.009824513,1.04047215,0.00341402,0.022686344,0.003249555,0.032110978,0.000621596,0.003459455,0.001169642,0.003077658,0.007364301,0.005834816,0.013406763,0.00249744,0.00024574,0.000522155,0.019905103,0.031013381,0.001130983,1.90E-05,0.034790475
HHATL-AS1,0.000298239,0.000452479,0.000328094,0.000305751,0.000829588,0.00029018,0.000190428,0.000712003,0.000650634,0.000228383,0.000267393,0.00051739,0.000365459,0.0001534,0.000240348,0.000163708,8.64E-05,0.000303876,0.000302762,0.000271288,0.000248712,4.38E-05,0.000301048,0.00027851,0.00044263,0.000240064,4.08E-05,0.000118805
CCDC13,0.003086082,0.007169756,0.003190581,0.003122153,0.004853548,0.003050158,0.001374466,0.002899325,0.021260077,0.000862475,0.002099006,0.018551616,0.002924557,0.003260771,0.001503999,0.000812129,0.000598831,0.002602187,0.001936206,0.000987175,0.000902538,0.000250708,0.000393477,0.008325338,0.002903704,0.001440539,0.000290557,0.001528245
AC006059.4,0.000299805,0.000408125,0.000335265,0.000301854,0.000725635,0.000255502,0.000223658,0.000683109,0.00035874,0.000231232,0.000274624,0.000472192,0.000319666,0.000153123,0.000246314,0.000168671,8.29E-05,0.000244428,0.00027248,0.000256291,0.000237483,4.39E-05,0.000274412,0.000214788,0.000411633,0.00024088,3.77E-05,0.000127664
CCDC13-AS1,0.000377745,0.000540102,0.000474694,0.000346193,0.000874342,0.000377747,0.001347102,0.000941785,0.000411581,0.000302603,0.00074063,0.000621874,0.00056024,0.000233085,0.000255146,0.000222242,0.00014978,0.000362519,0.000352462,0.000487335,0.00027764,5.33E-05,0.000399747,0.00028374,0.000512079,0.00031578,4.79E-05,0.000139075
